,sessionA,sessionB,idA,idB,match_score_gaze,match_score_clu,face_areaA,face_areaB
0,0227,0306,0227_0,0306_0,0.29357956489375275,0.28168645080864413,3476.4077,2632.5325
1,0227,0306,0227_0,0306_9,0.2592947951390419,0.2120968823703926,3476.4077,3704.5269
2,0227,0306,0227_1,0306_9,0.20152178248676272,0.21712121808714352,5123.4834,3704.5269
3,0227,0306,0227_2,0306_1,0.2845063638927822,0.25340212457494693,2886.7546,2716.4702
4,0227,0306,0227_3,0306_1,0.10526753696573177,0.13941004133058993,2946.5615,2716.4702
5,0227,0306,0227_3,0306_5,0.2763080821345945,0.239300123521483,2946.5615,4444.1704
6,0227,0306,0227_7,0306_0,0.2604299047403098,0.22972897921258204,2819.162,2632.5325
7,0227,0306,0227_7,0306_9,0.2903379135528938,0.21689986171223039,2819.162,3704.5269
8,0227,0306,0227_8,0306_2,0.290176546599068,0.25272559736284,4041.0625,5449.581
9,0227,0306,0227_9,0306_5,0.2825211301287333,0.27081137502302954,5078.156,4444.1704
10,0227,0403,0227_0,0403_3,0.08111525865653951,0.14205096556057706,3476.4077,3526.7144
11,0227,0403,0227_1,0403_3,0.2286797661384769,0.1973823427771612,5123.4834,3526.7144
12,0227,0403,0227_5,0403_4,0.2968681095049597,0.23138502570867708,4878.86,6181.7544
13,0227,0403,0227_6,0403_2,0.19584603141537918,0.1906654197605033,4873.9966,4655.5044
14,0227,0403,0227_7,0403_3,0.22314029094607546,0.25126387774841247,2819.162,3526.7144
15,0227,0403,0227_7,0403_10,0.29933770457948783,0.21942553513712637,2819.162,3557.1099
16,0227,0403,0227_9,0403_10,0.2932462735871515,0.2879494752845479,5078.156,3557.1099
17,0227,0410,0227_0,0410_2,0.20402427513183347,0.2701590515386622,3476.4077,2903.383
18,0227,0410,0227_0,0410_3,0.24590381543225423,0.2404945498140736,3476.4077,3610.9775
19,0227,0410,0227_0,0410_7,0.21081073015086652,0.20949169760462613,3476.4077,4284.1914
20,0227,0410,0227_1,0410_7,0.22348084548256078,0.25418808001313425,5123.4834,4284.1914
21,0227,0410,0227_2,0410_5,0.2723776729903058,0.23855620653603435,2886.7546,4142.949
22,0227,0410,0227_3,0410_4,0.16239395847630447,0.2999561262353805,2946.5615,2931.9958
23,0227,0410,0227_6,0410_3,0.27717947080323335,0.2910699112071627,4873.9966,3610.9775
24,0227,0410,0227_7,0410_2,0.21841709034559925,0.22521918915019823,2819.162,2903.383
25,0227,0410,0227_7,0410_7,0.2523699105951552,0.2782077592201683,2819.162,4284.1914
26,0227,0424,0227_0,0424_0,0.22917789922960594,0.2772029030495125,3476.4077,3438.554
27,0227,0424,0227_0,0424_11,0.21391449822932432,0.2481380375537424,3476.4077,4169.4937
28,0227,0424,0227_1,0424_0,0.23497345523890634,0.29875351038110365,5123.4834,3438.554
29,0227,0424,0227_3,0424_1,0.219258716872943,0.20794734633549758,2946.5615,3210.7979
30,0227,0424,0227_6,0424_11,0.2740023780643993,0.2735211924380081,4873.9966,4169.4937
31,0227,0424,0227_7,0424_0,0.29220041565435667,0.26731375551145964,2819.162,3438.554
32,0227,0424,0227_7,0424_11,0.25425216845119764,0.22687891801183271,2819.162,4169.4937
33,0227,0424,0227_10,0424_8,0.17054875667709307,0.21289381751562414,3153.998,2932.1304
34,0306,0227,0306_0,0227_0,0.29357956489375275,0.28168645080864413,2632.5325,3476.4077
35,0306,0227,0306_0,0227_7,0.2604299047403098,0.22972897921258204,2632.5325,2819.162
36,0306,0227,0306_1,0227_2,0.2845063638927822,0.25340212457494693,2716.4702,2886.7546
37,0306,0227,0306_1,0227_3,0.10526753696573177,0.13941004133058993,2716.4702,2946.5615
38,0306,0227,0306_2,0227_8,0.290176546599068,0.25272559736284,5449.581,4041.0625
39,0306,0227,0306_5,0227_3,0.2763080821345945,0.239300123521483,4444.1704,2946.5615
40,0306,0227,0306_5,0227_9,0.2825211301287333,0.27081137502302954,4444.1704,5078.156
41,0306,0227,0306_9,0227_0,0.2592947951390419,0.2120968823703926,3704.5269,3476.4077
42,0306,0227,0306_9,0227_1,0.20152178248676272,0.21712121808714352,3704.5269,5123.4834
43,0306,0227,0306_9,0227_7,0.2903379135528938,0.21689986171223039,3704.5269,2819.162
44,0306,0403,0306_0,0403_10,0.25828331630083845,0.19029223578227408,2632.5325,3557.1099
45,0306,0403,0306_1,0403_10,0.2856594037553331,0.23891036616387384,2716.4702,3557.1099
46,0306,0403,0306_9,0403_3,0.2380238799706345,0.22423898815026574,3704.5269,3526.7144
47,0306,0403,0306_10,0403_10,0.24345072352331154,0.17197837699386748,3421.179,3557.1099
48,0306,0410,0306_0,0410_2,0.27458476070880006,0.2965091740193989,2632.5325,2903.383
49,0306,0410,0306_1,0410_4,0.1608616358265592,0.26950667150614777,2716.4702,2931.9958
50,0306,0410,0306_5,0410_5,0.2325362761823731,0.2079441328517445,4444.1704,4142.949
51,0306,0410,0306_9,0410_3,0.29057443612145667,0.28773153529106055,3704.5269,3610.9775
52,0306,0410,0306_9,0410_7,0.1799740094131805,0.21250163895196686,3704.5269,4284.1914
53,0306,0424,0306_0,0424_11,0.22460362896357755,0.26819677804230135,2632.5325,4169.4937
54,0306,0424,0306_1,0424_1,0.19760433064451968,0.19141509910524318,2716.4702,3210.7979
55,0306,0424,0306_9,0424_0,0.2187413173723681,0.18638821788077423,3704.5269,3438.554
56,0306,0424,0306_9,0424_5,0.1149099027054428,0.1429762151911321,3704.5269,4681.5356
57,0403,0227,0403_2,0227_6,0.19584603141537918,0.1906654197605033,4655.5044,4873.9966
58,0403,0227,0403_3,0227_0,0.08111525865653951,0.14205096556057706,3526.7144,3476.4077
59,0403,0227,0403_3,0227_1,0.2286797661384769,0.1973823427771612,3526.7144,5123.4834
60,0403,0227,0403_3,0227_7,0.22314029094607546,0.25126387774841247,3526.7144,2819.162
61,0403,0227,0403_4,0227_5,0.2968681095049597,0.23138502570867708,6181.7544,4878.86
62,0403,0227,0403_10,0227_7,0.29933770457948783,0.21942553513712637,3557.1099,2819.162
63,0403,0227,0403_10,0227_9,0.2932462735871515,0.2879494752845479,3557.1099,5078.156
64,0403,0306,0403_3,0306_9,0.2380238799706345,0.22423898815026574,3526.7144,3704.5269
65,0403,0306,0403_10,0306_0,0.25828331630083845,0.19029223578227408,3557.1099,2632.5325
66,0403,0306,0403_10,0306_1,0.2856594037553331,0.23891036616387384,3557.1099,2716.4702
67,0403,0306,0403_10,0306_10,0.24345072352331154,0.17197837699386748,3557.1099,3421.179
68,0403,0410,0403_0,0410_7,0.17845799960745654,0.2976900242260708,5641.326,4284.1914
69,0403,0410,0403_1,0410_7,0.2727587440460538,0.29127659478200574,4514.3613,4284.1914
70,0403,0410,0403_2,0410_3,0.253384406493375,0.27226281548425724,4655.5044,3610.9775
71,0403,0410,0403_3,0410_3,0.22891543358521577,0.17352935137188216,3526.7144,3610.9775
72,0403,0410,0403_3,0410_7,0.17956962320921319,0.15447419870707899,3526.7144,4284.1914
73,0403,0410,0403_10,0410_2,0.28788644593865603,0.23683407707727988,3557.1099,2903.383
74,0403,0424,0403_3,0424_0,0.22390556748772353,0.24963802538469457,3526.7144,3438.554
75,0403,0424,0403_3,0424_11,0.23938294111869388,0.25211527758577357,3526.7144,4169.4937
76,0403,0424,0403_10,0424_11,0.22460628115682285,0.22871114958987426,3557.1099,4169.4937
77,0410,0227,0410_2,0227_0,0.20402427513183347,0.2701590515386622,2903.383,3476.4077
78,0410,0227,0410_2,0227_7,0.21841709034559925,0.22521918915019823,2903.383,2819.162
79,0410,0227,0410_3,0227_0,0.24590381543225423,0.2404945498140736,3610.9775,3476.4077
80,0410,0227,0410_3,0227_6,0.27717947080323335,0.2910699112071627,3610.9775,4873.9966
81,0410,0227,0410_4,0227_3,0.16239395847630447,0.2999561262353805,2931.9958,2946.5615
82,0410,0227,0410_5,0227_2,0.2723776729903058,0.23855620653603435,4142.949,2886.7546
83,0410,0227,0410_7,0227_0,0.21081073015086652,0.20949169760462613,4284.1914,3476.4077
84,0410,0227,0410_7,0227_1,0.22348084548256078,0.25418808001313425,4284.1914,5123.4834
85,0410,0227,0410_7,0227_7,0.2523699105951552,0.2782077592201683,4284.1914,2819.162
86,0410,0306,0410_2,0306_0,0.27458476070880006,0.2965091740193989,2903.383,2632.5325
87,0410,0306,0410_3,0306_9,0.29057443612145667,0.28773153529106055,3610.9775,3704.5269
88,0410,0306,0410_4,0306_1,0.1608616358265592,0.26950667150614777,2931.9958,2716.4702
89,0410,0306,0410_5,0306_5,0.2325362761823731,0.2079441328517445,4142.949,4444.1704
90,0410,0306,0410_7,0306_9,0.1799740094131805,0.21250163895196686,4284.1914,3704.5269
91,0410,0403,0410_2,0403_10,0.28788644593865603,0.23683407707727988,2903.383,3557.1099
92,0410,0403,0410_3,0403_2,0.253384406493375,0.27226281548425724,3610.9775,4655.5044
93,0410,0403,0410_3,0403_3,0.22891543358521577,0.17352935137188216,3610.9775,3526.7144
94,0410,0403,0410_7,0403_0,0.17845799960745654,0.2976900242260708,4284.1914,5641.326
95,0410,0403,0410_7,0403_1,0.2727587440460538,0.29127659478200574,4284.1914,4514.3613
96,0410,0403,0410_7,0403_3,0.17956962320921319,0.15447419870707899,4284.1914,3526.7144
97,0410,0424,0410_1,0424_7,0.183686377872712,0.17955384755313242,2460.3247,2597.03
98,0410,0424,0410_2,0424_0,0.17984496185966742,0.21495729257705987,2903.383,3438.554
99,0410,0424,0410_2,0424_11,0.23513014619221237,0.2233929243012454,2903.383,4169.4937
100,0410,0424,0410_3,0424_0,0.28337073329215196,0.25126043635384193,3610.9775,3438.554
101,0410,0424,0410_3,0424_11,0.28967650415884366,0.2697176298041983,3610.9775,4169.4937
102,0410,0424,0410_4,0424_1,0.1926703383825687,0.22188763470876208,2931.9958,3210.7979
103,0410,0424,0410_7,0424_0,0.19681135157405077,0.1912837523544392,4284.1914,3438.554
104,0410,0424,0410_7,0424_5,0.14385999765713348,0.25832541124352204,4284.1914,4681.5356
105,0410,0424,0410_7,0424_11,0.28328627608708357,0.22313726331293546,4284.1914,4169.4937
106,0424,0227,0424_0,0227_0,0.22917789922960594,0.2772029030495125,3438.554,3476.4077
107,0424,0227,0424_0,0227_1,0.23497345523890634,0.29875351038110365,3438.554,5123.4834
108,0424,0227,0424_0,0227_7,0.29220041565435667,0.26731375551145964,3438.554,2819.162
109,0424,0227,0424_1,0227_3,0.219258716872943,0.20794734633549758,3210.7979,2946.5615
110,0424,0227,0424_8,0227_10,0.17054875667709307,0.21289381751562414,2932.1304,3153.998
111,0424,0227,0424_11,0227_0,0.21391449822932432,0.2481380375537424,4169.4937,3476.4077
112,0424,0227,0424_11,0227_6,0.2740023780643993,0.2735211924380081,4169.4937,4873.9966
113,0424,0227,0424_11,0227_7,0.25425216845119764,0.22687891801183271,4169.4937,2819.162
114,0424,0306,0424_0,0306_9,0.2187413173723681,0.18638821788077423,3438.554,3704.5269
115,0424,0306,0424_1,0306_1,0.19760433064451968,0.19141509910524318,3210.7979,2716.4702
116,0424,0306,0424_5,0306_9,0.1149099027054428,0.1429762151911321,4681.5356,3704.5269
117,0424,0306,0424_11,0306_0,0.22460362896357755,0.26819677804230135,4169.4937,2632.5325
118,0424,0403,0424_0,0403_3,0.22390556748772353,0.24963802538469457,3438.554,3526.7144
119,0424,0403,0424_11,0403_3,0.23938294111869388,0.25211527758577357,4169.4937,3526.7144
120,0424,0403,0424_11,0403_10,0.22460628115682285,0.22871114958987426,4169.4937,3557.1099
121,0424,0410,0424_0,0410_2,0.17984496185966742,0.21495729257705987,3438.554,2903.383
122,0424,0410,0424_0,0410_3,0.28337073329215196,0.25126043635384193,3438.554,3610.9775
123,0424,0410,0424_0,0410_7,0.19681135157405077,0.1912837523544392,3438.554,4284.1914
124,0424,0410,0424_1,0410_4,0.1926703383825687,0.22188763470876208,3210.7979,2931.9958
125,0424,0410,0424_5,0410_7,0.14385999765713348,0.25832541124352204,4681.5356,4284.1914
126,0424,0410,0424_7,0410_1,0.183686377872712,0.17955384755313242,2597.03,2460.3247
127,0424,0410,0424_8,0410_7,0.2911795998666384,0.28580118601849647,2932.1304,4284.1914
128,0424,0410,0424_11,0410_2,0.23513014619221237,0.2233929243012454,4169.4937,2903.383
129,0424,0410,0424_11,0410_3,0.28967650415884366,0.2697176298041983,4169.4937,3610.9775
130,0424,0410,0424_11,0410_7,0.28328627608708357,0.22313726331293546,4169.4937,4284.1914
